Raw EEG,Attention,Meditation,Alpha,Delta,Theta,Low Beta,High Beta,Gamma
-3.601710002,58.52841663,27.92357598,0.93,2.25,1.2,0.67,0.47,0.26
18.16876729,57.75530892,22.99964973,0.64,1.74,0.87,0.57,0.43,0.26
-26.0998408,56.83396227,18.92008101,2.52,4.35,4.27,0.98,0.45,0.28
16.1558787,54.84692091,16.18495138,2.28,7.07,5.32,0.85,0.47,0.28
-4.257202148,54.20651058,14.50843218,2.16,6.73,4.83,0.81,0.48,0.28
-43.42778524,53.20431927,12.66190388,2.67,6.79,5.8,0.98,0.46,0.29
11.91107432,53.34927042,13.01356217,2.8,7.23,5.35,0.87,0.47,0.3
-8.91717275,52.40666222,12.7481947,2.9,7.15,5.58,0.93,0.5,0.3
18.58520508,52.13781954,12.56414304,3.28,8.05,7.25,1.17,0.51,0.3
42.01889038,53.8997442,12.21840863,3.51,8.03,7.13,1.2,0.54,0.28
-4.237174988,53.28919862,10.78038928,3.34,8.63,6.33,1.24,0.57,0.29
38.33293915,52.52329454,11.61184993,3.43,8.6,6.12,1.21,0.53,0.3
15.6548818,52.49578971,12.31218935,3.45,6.36,5.96,1.47,0.58,0.31
-10.56830088,51.30476501,14.37092261,3.37,6.54,6.91,1.17,0.51,0.29
37.64947255,51.76187845,16.82482662,3.44,6.37,7.16,1.2,0.54,0.29
-12.78718313,51.73975452,16.66283297,3.26,6.89,5.65,1.17,0.62,0.3
-1.616160075,52.01003757,18.67183559,2.93,6.48,4.58,1.09,0.59,0.3
23.50393931,52.25079067,21.83272425,3.15,6.13,5.18,1.04,0.62,0.3
-25.16555786,53.46026039,23.29353519,2.37,4.99,4.6,0.76,0.51,0.29
19.33288574,53.24695984,26.38950052,2.39,4.74,4.49,0.77,0.52,0.3
5.862871806,54.01038017,28.22960239,2.14,4.57,4.4,0.73,0.53,0.29
-19.07030741,53.33523492,29.87654616,2.26,4.78,4.27,0.73,0.49,0.31
39.30346171,53.76987539,30.98673445,1.51,3.99,2,0.87,0.54,0.37
-9.657541911,53.23140707,30.13941865,0.69,1.55,0.74,0.39,0.41,0.29
-1.481691996,51.98878051,29.0748498,0.74,1.49,0.74,0.5,0.44,0.29
18.04574331,52.38573346,28.48348975,0.77,1.68,0.92,0.56,0.41,0.28
-38.14760844,51.59483638,27.26611003,0.68,1.72,0.86,0.57,0.41,0.26
10.32479604,50.27524115,27.3964207,0.8,1.92,0.82,0.54,0.37,0.24
-2.031644185,50.51748278,27.38219805,0.76,2.14,1.07,0.6,0.37,0.24
-33.40975444,50.47188849,27.89974749,1.7,3.24,2.45,1.16,0.41,0.24
17.4703598,50.30743085,30.04018597,1.74,3.57,3.62,0.92,0.41,0.25
-19.46544647,47.99600023,29.40998687,1.84,3.67,3.28,0.85,0.4,0.26
-9.020169576,45.68087305,28.53614511,2.48,5.69,6.8,1.03,0.44,0.31
11.72351837,43.3095034,26.94310077,2.31,7.91,5.71,0.95,0.4,0.25
-38.77989451,40.09276596,29.27758365,2.4,7.62,5.83,1.01,0.54,0.32
-2.525647481,38.55721746,34.05739077,2.58,7.9,6.27,1.07,0.44,0.26
-10.71071625,38.04833854,36.73526058,2.7,8.07,6.12,0.94,0.45,0.27
-37.32363383,38.26245121,38.06205624,3.01,7.84,5.66,1.27,0.48,0.3
6.163914998,38.68300206,41.00701999,2.81,7.45,6.32,1.18,0.46,0.28
-35.57872772,36.22398574,41.26359933,2.54,7.99,6.16,1.07,0.48,0.31
-39.43729401,34.10859732,41.02217689,2.58,7.9,5.51,1.02,0.45,0.29
7.244110107,32.19144493,41.26315894,2.73,8.14,5.18,0.97,0.45,0.29
-41.81448619,29.17669624,41.73664439,1.94,5.16,3.38,1.12,0.51,0.34
5.557696025,28.26515055,44.27981727,2,4.12,3.28,1.08,0.47,0.3
4.906018575,27.12573098,45.01242487,1.89,3.74,3.11,0.94,0.45,0.36
-32.28251139,24.63867571,45.89123505,1.69,3.14,2.95,0.9,0.4,0.3
18.68693034,22.58062964,47.59411901,1.72,3.26,2.71,0.89,0.39,0.3
-20.95222473,21.755817,49.18425153,1.15,3.11,1.69,0.79,0.55,0.35
-18.75495911,19.06049274,50.85278099,0.65,2.05,1.21,0.7,0.38,0.25
19.30872599,16.66892685,53.97611364,0.72,1.49,0.9,0.63,0.38,0.26
-37.04166412,13.83435376,54.88751048,1.08,1.89,0.97,0.87,0.48,0.29
5.703290304,13.52924583,57.05444092,1.31,4.6,2.87,1.36,0.51,0.26
0.558535258,12.60927827,59.25429562,1.33,4.74,2.89,1.31,0.47,0.25
-33.48223368,12.20783944,61.02341419,1.23,4.96,2.85,1.31,0.43,0.26
25.06256104,11.6271919,57.79094765,1.32,5.05,3.3,1.4,0.43,0.26
-21.76030477,9.438742578,54.84381669,1.37,5.29,3.14,1.39,0.46,0.26
-19.49342092,6.766187138,53.13502124,1.39,5.15,2.99,1.36,0.44,0.26
18.08929443,4.176999654,51.10166698,1.38,5.01,2.97,1.29,0.39,0.26
-29.08643087,1.426850884,48.56814083,1.31,4.99,2.75,1.27,0.42,0.28
5.358695984,0.914813456,46.97013045,1.41,4.99,3.42,1.39,0.52,0.31
-0.496864319,0.784555246,47.23176619,1.63,4.97,3.13,1.17,0.61,0.33
-31.08787537,0.776701049,46.86634004,1.13,3.09,1.72,0.6,0.43,0.3
11.42501831,0.817757997,47.01781454,1.17,2.92,1.57,0.59,0.41,0.29
-24.9414444,0.787927045,45.90450082,0.97,2.27,1.4,0.56,0.45,0.29
-22.32042948,0.533588102,48.82116625,1.08,1.94,1.31,0.57,0.43,0.31
20.52656809,0.527183396,50.35243008,1.04,2.1,1.24,0.58,0.5,0.33
-30.21240234,3.316907494,50.39734918,1.03,2.04,1.38,0.6,0.48,0.33
10.93578339,4.761768197,49.11893097,1.39,9.16,4.39,0.89,0.58,0.36
10.29332479,,,1.72,12.03,3.57,0.75,0.64,0.37
-26.84338888,,,1.31,10.32,2.98,0.63,0.51,0.34
23.08781942,,,1.31,11.59,3.21,0.59,0.51,0.35
-12.01279958,,,1.47,11.11,3.59,0.66,0.62,0.34
-16.57263438,,,1.48,12.06,3.44,0.63,0.64,0.35
28.93002828,,,1.5,11.95,3.32,0.66,0.67,0.35
-22.78232574,,,1.33,10.24,2.91,0.68,0.68,0.35
3.162066142,,,1.39,11.38,3.2,0.71,0.66,0.34
7.985750834,,,1.39,11.1,3.57,0.82,0.64,0.35
-35.69889069,,,0.87,5,1.53,0.89,0.67,0.4
20.60286204,,,0.55,2.35,1.51,0.82,0.66,0.36
-9.971300761,,,0.49,1.93,1.08,0.82,0.64,0.34
-17.37785339,,,0.49,1.88,1.07,0.83,0.57,0.35
31.58092499,,,0.56,2.13,1.11,0.8,0.55,0.35
