"eeg0","eeg1","eeg2","eeg3"
-0.48828125,0.0,0.0,-0.48828125
-0.48828125,-6.8359375,-14.16015625,-0.48828125
30.76171875,12.20703125,41.9921875,30.76171875
-67.87109375,15.13671875,-55.6640625,-59.5703125
321.2890625,-258.30078125,60.546875,312.5
-872.55859375,361.328125,839.35546875,-864.74609375
254.8828125,-82.03125,986.81640625,420.41015625
-1000.0,-1000.0,890.625,-1000.0
-634.765625,-1000.0,931.15234375,-433.59375
-971.6796875,-54.6875,916.9921875,-934.5703125
435.546875,180.6640625,916.015625,884.27734375
-1000.0,-1000.0,898.4375,-678.7109375
-1000.0,-1000.0,873.046875,-931.640625
255.37109375,-228.515625,868.65234375,606.4453125
-988.76953125,521.97265625,866.2109375,-800.29296875
-519.53125,-752.9296875,858.3984375,-6.8359375
-1000.0,-1000.0,813.96484375,-1000.0
-111.81640625,-525.87890625,782.2265625,22.94921875
-848.14453125,798.33984375,817.87109375,-774.4140625
136.23046875,-93.26171875,780.2734375,208.49609375
-1000.0,-1000.0,642.578125,-1000.0
-248.046875,-906.73828125,534.1796875,-275.390625
-817.3828125,539.55078125,583.49609375,-813.4765625
237.79296875,266.11328125,676.7578125,529.78515625
-1000.0,-1000.0,594.7265625,-1000.0
-731.93359375,-1000.0,178.7109375,-542.48046875
916.50390625,63.96484375,105.46875,990.72265625
611.328125,490.234375,405.76171875,-988.28125
-956.0546875,-933.59375,373.53515625,-484.86328125
-1000.0,-1000.0,14.6484375,-1000.0
206.0546875,-148.4375,-206.54296875,493.1640625
-913.0859375,721.6796875,35.15625,-784.66796875
-310.546875,-541.015625,39.55078125,134.765625
-1000.0,-1000.0,-262.20703125,-1000.0
-213.8671875,-651.85546875,-510.7421875,-183.10546875
-836.42578125,720.703125,-395.99609375,-776.85546875
213.37890625,8.30078125,-244.62890625,219.23828125
-1000.0,-1000.0,-392.578125,-1000.0
-423.33984375,-1000.0,-600.5859375,-272.94921875
-871.58203125,351.5625,-524.4140625,-827.1484375
289.55078125,325.68359375,-367.1875,618.1640625
-1000.0,-1000.0,-385.7421875,-1000.0
-883.7890625,-1000.0,-523.4375,-639.6484375
701.66015625,-14.6484375,-510.7421875,910.64453125
772.94921875,619.140625,-446.2890625,-893.06640625
-797.36328125,-763.671875,-522.94921875,-230.46875
-1000.0,-1000.0,-668.45703125,-1000.0
1.953125,-285.64453125,-696.2890625,183.10546875
-841.796875,874.0234375,-562.98828125,-754.39453125
-122.55859375,-315.4296875,-521.484375,191.40625
-1000.0,-1000.0,-630.37109375,-1000.0
-205.078125,-738.28125,-732.91015625,-253.41796875
-886.71875,599.609375,-591.30859375,-851.5625
158.203125,16.11328125,-492.67578125,244.62890625
-1000.0,-1000.0,-579.58984375,-1000.0
-548.33984375,-1000.0,-714.35546875,-347.16796875
-925.78125,190.91796875,-651.85546875,-887.20703125
388.18359375,360.83984375,-577.1484375,787.59765625
-1000.0,-965.8203125,-604.4921875,-807.6171875
-1000.0,-1000.0,-687.5,-854.98046875
480.46875,-82.03125,-715.33203125,702.1484375
924.31640625,698.2421875,-519.53125,-832.03125
-620.1171875,-653.3203125,-423.828125,-86.9140625
-1000.0,-1000.0,-663.57421875,-1000.0
-111.81640625,-358.88671875,-744.140625,20.01953125
-825.68359375,958.984375,-563.4765625,-758.30078125
61.5234375,-75.68359375,-546.875,201.171875
-1000.0,-1000.0,-681.640625,-1000.0
-239.74609375,-808.59375,-754.39453125,-274.90234375
-820.80078125,683.59375,-626.953125,-804.19921875
