"eeg0","eeg1","eeg2","eeg3"
-1000.0,-1000.0,-1000.0,-1000.0
-293.45703125,-490.72265625,-911.1328125,-708.984375
-825.1953125,-918.9453125,112.79296875,858.3984375
525.390625,644.04296875,332.51953125,-919.921875
-1000.0,-924.31640625,-711.42578125,-313.4765625
-781.73828125,-1000.0,-1000.0,-1000.0
799.31640625,461.9140625,-225.5859375,133.30078125
-974.12109375,-865.234375,456.54296875,-761.71875
-433.59375,-239.2578125,-403.3203125,179.19921875
-1000.0,-1000.0,-1000.0,-1000.0
98.6328125,-120.1171875,-472.16796875,-264.16015625
-775.390625,-799.31640625,479.98046875,-800.29296875
105.95703125,202.63671875,-95.21484375,246.58203125
-1000.0,-1000.0,-1000.0,-1000.0
-252.44140625,-270.99609375,-824.21875,-382.32421875
-810.05859375,-811.03515625,245.60546875,-881.34765625
239.74609375,313.4765625,114.74609375,686.5234375
-1000.0,-1000.0,-974.12109375,-923.33984375
-446.77734375,-629.39453125,-941.89453125,-874.51171875
-896.97265625,967.7734375,81.0546875,656.73828125
641.11328125,784.1796875,465.8203125,-823.73046875
-1000.0,-819.82421875,-627.44140625,-229.00390625
-826.66015625,-1000.0,-1000.0,-1000.0
765.13671875,448.2421875,-94.7265625,293.9453125
-874.0234375,-828.125,529.78515625,-787.109375
-245.1171875,-93.75,-359.86328125,197.75390625
-1000.0,-1000.0,-1000.0,-1000.0
-16.11328125,-191.89453125,-489.2578125,-272.4609375
-775.87890625,-805.6640625,527.83203125,-801.7578125
207.51953125,230.95703125,-66.89453125,379.8828125
-1000.0,-1000.0,-1000.0,-1000.0
-270.5078125,-309.08203125,-788.0859375,-451.66015625
-803.22265625,-824.70703125,296.38671875,-932.6171875
338.8671875,440.4296875,125.0,835.9375
-1000.0,-1000.0,-935.05859375,-716.30859375
-505.37109375,-704.58984375,-984.86328125,-1000.0
-940.4296875,880.37109375,-84.47265625,505.37109375
764.6484375,934.08203125,402.83203125,-805.17578125
-808.59375,-563.4765625,-540.0390625,-48.33984375
-1000.0,-1000.0,-1000.0,-1000.0
445.80078125,160.15625,-350.5859375,-87.40234375
-812.98828125,-787.109375,482.91015625,-773.4375
-88.8671875,44.921875,-246.09375,212.890625
-1000.0,-1000.0,-1000.0,-1000.0
-131.34765625,-237.3046875,-681.15234375,-273.92578125
-786.62109375,-808.59375,317.87109375,-812.01171875
219.23828125,237.79296875,8.30078125,483.88671875
-1000.0,-1000.0,-1000.0,-1000.0
-271.97265625,-395.99609375,-900.390625,-593.26171875
-810.05859375,-863.28125,112.3046875,974.12109375
424.8046875,521.484375,270.01953125,960.9375
-1000.0,-1000.0,-789.0625,-518.5546875
-646.484375,-884.765625,-1000.0,-1000.0
957.03125,652.83203125,-104.00390625,286.1328125
896.97265625,-961.9140625,530.2734375,-775.390625
-614.2578125,-415.52734375,-369.140625,74.21875
-1000.0,-1000.0,-1000.0,-1000.0
211.42578125,-3.41796875,-450.1953125,-230.95703125
-786.62109375,-789.0625,438.4765625,-798.33984375
-11.23046875,138.18359375,-245.60546875,230.46875
-1000.0,-1000.0,-1000.0,-1000.0
-239.2578125,-254.8828125,-760.7421875,-296.38671875
-812.5,-809.5703125,299.8046875,-831.0546875
236.81640625,260.7421875,44.43359375,569.82421875
-1000.0,-1000.0,-1000.0,-1000.0
-335.9375,-513.18359375,-866.2109375,-698.2421875
-839.35546875,-933.10546875,252.9296875,875.9765625
531.73828125,654.296875,355.46875,-916.50390625
-1000.0,-919.921875,-753.41796875,-308.59375
-787.109375,-1000.0,-1000.0,-1000.0
783.203125,450.68359375,-28.3203125,144.53125
-954.1015625,-850.09765625,526.85546875,-760.25390625
-400.87890625,-208.984375,-468.75,184.08203125
-1000.0,-1000.0,-1000.0,-1000.0
92.28515625,-99.12109375,-499.51171875,-266.6015625
